"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070126","GO:0070126","mitochondrial translational termination","39/3831","88/17468",2.28058553086619e-06,0.000119194705309801,9.83842341025945e-05,"MRPL36/MRPS7/MRPL27/GADD45GIP1/MRPL23/MRPL45/MRPL12/MRPL54/MRPL11/MRPL4/MRPL19/MRPS23/MRPL20/MRPL37/MRPL28/MRPS10/MRPL53/MRPS18A/MRPS15/MRPL35/MRPS18B/MRPL1/MRPL44/MRPL15/MRRF/MRPL41/MRPS12/MRPL47/MRPL40/MRPS11/MRPL46/MRPL3/MRPS5/MRPS35/MRPL38/AURKAIP1/MRPS24/MRPL14/MRPS16",39
"GO:0051098","GO:0051098","regulation of binding","119/3831","369/17468",2.36933654279235e-06,0.000122783838637078,0.000101346732584204,"H1F0/DOT1L/PLK2/JUN/HERPUD1/NME1/CALM3/PARP1/CEBPG/TDG/PRKACA/SKI/PLXND1/EIF3C/ZMPSTE24/ACTB/P2RY1/EIF4G1/GNL3L/MEPCE/FKBP1A/CDK5/POU4F1/PARK7/TFIP11/ERCC2/TMSB4X/BAX/HSP90AB1/ADNP/PPP1CA/TRIB3/CDCA5/ZFPM1/ITGB1BP1/CRK/EPB41/IFI16/ACE/MAPRE1/PKD1/TMEM173/HSPA5/TMBIM6/PPP2CA/DDIT3/CTNNBIP1/DERL1/HOXA3/DVL1/GOLGA2/RAPGEF2/BTBD1/PEX19/RIPK2/ILRUN/SPPL3/CSNK1A1/PDX1/MARK2/NMD3/NCBP1/FBXW7/EDF1/CPNE1/RAN/SNAPIN/DISC1/ADD1/STMN1/AIDA/TEX14/HES1/AURKB/BAK1/SUMO3/ROCK1/PYGO2/IFIT2/PHLDA2/CSNK2B/CAV1/CTNNB1/CAPRIN2/EBF2/SIRT2/TIRAP/TWIST1/ZBTB7A/CRMP1/CRTAC1/SORL1/AKT1/MAU2/TFAP4/SIN3A/LDLRAP1/IRF4/PTPRF/MSX2/RALB/B2M/KLF4/NOG/E2F1/TRAF4/ITGA4/PLK1/ARRB2/HSF1/HMGB1/APP/TRIM28/MED25/PRMT7/STUB1/HJURP/LRRK2/TGFBR1",119
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","63/3831","167/17468",2.39214646043108e-06,0.000122924164752404,0.000101462558848005,"HSPA1A/PLK2/HERPUD1/KEAP1/PRKACA/BCAP31/PSME3/MAP1A/BTRC/PSMC1/GSK3A/CCAR2/PARK7/HSP90AB1/UBE2K/MDM2/SGTA/USP5/BAG6/RNF40/HSPBP1/PSMC2/VCP/PKD1/PSMD10/PSMC3/DVL1/USP13/SVIP/GLMN/CSNK1A1/RAD23B/OGT/UFL1/FBXW7/USP14/RHBDF1/GNA12/PSMC4/CLU/GBA/YOD1/ATXN3/SMARCC1/UBQLN4/CAV1/SIRT2/LAMP3/GCLC/PSMC5/RYBP/USP25/GPX1/FHIT/AKT1/UBE2G2/NUPR1/PLK1/PLK3/STUB1/TMF1/LRRK2/ARAF",63
"GO:0045787","GO:0045787","positive regulation of cell cycle","120/3831","373/17468",2.46023421663346e-06,0.00012536943528928,0.000103480904111907,"CDKN1A/BTG2/PLK2/MYBBP1A/ADAMTS1/APEX1/EGFR/UBXN2B/PAGR1/KIF3B/CCNB1/PRKACA/CDC42/RHOA/ASNS/ZNF268/FGFR2/PSRC1/CNOT9/GADD45A/CDC25B/EIF4G1/MEPCE/CCND3/POU4F1/TFDP1/ASCL1/GTSE1/CDK4/UBE2C/FAM83D/ESPL1/POC1A/H2AFY/BAX/HSP90AB1/CDCA5/RDX/HCFC1/CNOT7/RHNO1/CNOT11/MDM2/WIZ/SPAST/SOX4/POLDIP2/DTL/CENPV/CASP2/STAT5B/PKD1/CCNT2/ATM/PSMD10/PTPN11/MED1/LGMN/ZNF385A/ATAD5/HNRNPU/TRIAP1/PRMT1/BRD4/TP73/FOSL1/CDC7/USP22/RCC2/HES1/ARID3A/CCND2/GPER1/INO80/PROX1/CDK10/ZBTB17/AURKB/CKS2/RPS15A/CCNT1/SIRT2/CUL4B/MUC1/CCNE1/CDK5R1/SLF2/RAB11A/FEN1/E2F4/PDGFRB/AKT1/TFAP4/SIN3A/RPS6KB1/PAFAH1B1/CDC6/RPL26/MSX2/NDC80/E2F1/CCNY/SVIL/PLK3/HSF1/CCND1/PLAGL1/SPAG5/LSM11/YTHDC2/APP/MED25/PRKCA/GATA6/KIF23/DBF4B/MAPK15/CNOT3/HSPA2/XRCC3",120
"GO:0034605","GO:0034605","cellular response to heat","48/3831","117/17468",2.51397613437903e-06,0.000127049289766345,0.000104867469024336,"HSPA6/CDKN1A/HSPA1A/HSPA1B/IRAK1/DNAJB1/HSPA8/PRKACA/HSPB8/MAPK1/MTOR/NDC1/YWHAE/AKT1S1/DNAJC7/MLST8/RPA1/CCAR2/HSPA1L/HSP90AB1/CREBBP/NUP210/VCP/ATM/PDCD6/CHORDC1/IER5/POM121/HSBP1/BAG1/ATP2A2/NUP85/BAG3/ATXN3/DNAJC2/TCIM/RPA2/DAXX/NUP98/RAE1/SIRT1/DNAJB6/SEH1L/NUP50/HSF1/STUB1/NUP188/NUP153",48
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","64/3831","171/17468",2.72855550469688e-06,0.000136763253370667,0.000112885449913905,"CTSD/KIF3B/PSMD1/PSMD11/HLA-B/AP1B1/PSME3/DNM2/PSMD2/RAB7A/PSMC1/PSMB2/DCTN5/PSMA7/AP1G1/PSMA4/DYNC1LI2/PSMC2/PSMB7/HLA-DPA1/PSMD3/PSMD10/KIF4A/AP2S1/PSMC3/HLA-C/LGMN/PSMB4/KIF22/PSMB10/VAMP8/KLC2/CAPZB/SPTBN2/HLA-DOA/DCTN4/ITGB5/KIF5A/PSME1/PSMC4/CLTA/PSMB6/SEC24C/PSMB5/KIF2C/PSMD9/PSMB3/PSME4/PSMC5/AP1S1/CYBB/ACTR1A/HLA-F/SNAP23/B2M/AP2B1/PSMA6/PSMB1/CAPZA1/KIF23/HLA-E/SEC24D/PSMA3/DCTN3",64
"GO:1902750","GO:1902750","negative regulation of cell cycle G2/M phase transition","42/3831","98/17468",2.75756529229647e-06,0.00013709359156417,0.000113158113620552,"PSMD1/PSMD11/PSME3/PSMD2/PSMC1/PSMB2/PSMA7/H2AFY/PSMA4/PSMC2/DTL/CUL1/PSMB7/PSMD3/ATM/PSMD10/PSMC3/USP47/PSMB4/PSMB10/SKP1/TICRR/PSME1/PSMC4/PSMB6/PSMB5/BRCC3/PSMD9/PSMB3/AURKB/PSME4/CDK5RAP3/MIIP/BRSK1/PSMC5/NBN/FHL1/PSMA6/PLK1/FZR1/PSMB1/PSMA3",42
"GO:0051052","GO:0051052","regulation of DNA metabolic process","128/3831","404/17468",2.79167766323538e-06,0.00013767023315068,0.000113634078057841,"CDKN1A/FOXM1/NABP2/JUN/EGFR/TSPYL2/CCT3/PRMT5/TIMELESS/PARP1/CEBPG/FAM168A/KLHL15/ZMPSTE24/MAPK1/XRCC5/SMG6/EXOSC10/WRNIP1/GNL3L/MBD3/UBE2N/TFDP1/ALYREF/RAD50/TFIP11/BAX/HSP90AB1/CCT2/BCL6/ATF7IP/WIZ/TET1/SMARCAD1/MYC/ACTR2/SMC1A/MSH2/ATM/PPP2CA/OTUB1/FGF2/SMC3/ZNF91/ATAD5/HNRNPU/FUS/PARP3/PPP2R1A/TEN1/EXOSC3/HRAS/NEK7/NSD2/TICRR/FBXW7/PPP4R2/OGG1/EYA1/CDC7/PIF1/CCT7/KPNA1/GPER1/INO80/BRCC3/PPARGC1A/S100A11/DNAJC2/NPAS2/AUNIP/RPA2/XRN1/TMEM161A/AURKB/KPNA2/FLCN/DKC1/H2AFX/AIFM1/NUDT16L1/UBQLN4/CTNNB1/SLFN11/HNRNPA1/PKIB/CCT5/PDS5A/DNMT1/SIRT1/NBN/SLF2/RTEL1/TWIST1/MAPKAPK5/ZBTB38/SETD2/DNA2/PDGFRB/AKT1/CYREN/CDC6/NMNAT1/EHMT2/KLF4/TFRC/BMPR2/SPIRE2/IL27RA/ARRB2/KMT2A/HSF1/OTUD4/RAD52/ERCC1/HMGB1/APLF/TRIM28/SHLD2/DBF4B/CCT6A/MAPK15/CCNA2/SIRT6/MLH1/NAT10/FGFR4/HELB",128
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","83/3831","238/17468",2.85429098641906e-06,0.000139631915055621,0.000115253265514774,"H1F0/HIST1H1C/HIST2H4A/HIST1H4E/TSPYL2/SMARCB1/HIST2H2BE/PARP1/HMGA1/BRD2/CHAF1B/CETN2/CTCF/GRWD1/RUVBL1/SOX9/CENPQ/SET/CENPX/SMARCA4/RPA1/H2AFY/ERCC2/UBN1/CHAF1A/HIST2H4B/RNF4/ATF7IP/HIST1H2BF/HIST1H2BN/MYC/HIST1H3H/CENPV/DDB1/SMARCE1/CENPI/CENPC/UBC/RAD23B/NAP1L4/CCNH/HIST3H2A/SMARCD1/HIST1H4D/H3F3A/HIST1H1E/CENPS/TAF1C/RPA2/HP1BP3/PSME4/H2AFX/DAXX/SMARCC1/GTF3C5/CENPN/ASF1B/POLR1E/SUPT16H/CUL4B/SGF29/SETD2/HIST1H2BJ/CENPW/GTF2H1/MCM2/DDB2/CENPM/HIST1H4K/HIST2H3C/HIST1H3B/RBBP4/XPA/CENPP/RAD52/XPC/HMGB1/HJURP/HIST1H2BC/ANP32B/TCF4/UBA52/HIST1H2BO",83
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","91/3831","267/17468",2.93553598270465e-06,0.000142466686779674,0.000117593108079105,"CDKN1A/BTG2/PLK2/ADAMTS1/APEX1/EGFR/ZPR1/CCNB1/RPS27L/RCC1/POLE4/CNOT9/GADD45A/EIF4G1/RRM2/MEPCE/TFDP1/GTSE1/CDK4/RPA1/ID4/BAX/RDX/CNOT7/CNOT11/MDM2/MCM7/CUL2/SOX4/MYC/CASP2/CUL1/FBXO7/PKD1/DHFR/ATM/BTN2A2/ZNF385A/SKP2/TRIAP1/PRMT1/CCNH/POLA2/KHDRBS1/PPP6C/BRD4/CTDSP2/CDC7/RBBP8/CACUL1/ARID3A/CCND2/INO80/CDK10/MCM4/RPA2/MCM3/SLFN11/CDKN3/CUL4B/MUC1/CCNE1/E2F4/PTPN6/AKT1/INHBA/BRD7/RPS6KB1/CCNE2/MCM2/CDC6/RPL26/PRMT2/RIPK1/FHL1/PPAT/RHOU/KLF4/POLE2/E2F1/PLK3/CDC25A/BACH1/CCND1/PLAGL1/LSM11/ORC1/KANK2/CNOT3/MAX/BCAT1",91
"GO:0002244","GO:0002244","hematopoietic progenitor cell differentiation","60/3831","158/17468",3.21216347467255e-06,0.000154664406674194,0.000127661200671818,"PSMD1/PSMD11/XRCC5/PSME3/YAP1/HES5/PSMD2/PSMC1/PSMB2/BVES/PSMA7/ERCC2/SOX4/PSMA4/TENT2/PSMC2/ACE/PSMB7/PSMD3/AGPAT5/PSMD10/PSMC3/PSMB4/PSMB10/TCF3/LIG4/RBM47/TP73/ADAR/CBFB/PSME1/PSMC4/PSMB6/KITLG/HES1/PSMB5/HSPA9/PSMD9/PSMB3/PSME4/FLCN/GATA2/PSMC5/ZBTB1/EML1/PTPN6/INHBA/SIN3A/RRS1/DPF2/MLF1/PSMA6/KMT2A/JAM3/PSMB1/ANLN/SLC8A3/KIT/TMEM91/PSMA3",60
"GO:0022904","GO:0022904","respiratory electron transport chain","44/3831","105/17468",3.33158124631392e-06,0.000158509123656628,0.000130834659884414,"ND2/ND3/MYBBP1A/ND5/COX2/ND1/CCNB1/ND6/CYTB/NDUFB2/ND4/ND4L/PARK7/AIFM2/NDUFS5/NDUFS2/NDUFB8/COX5A/COX6B1/ETFB/DLD/NDUFA8/COX3/TAZ/NDUFC2/NDUFS6/PPARGC1A/NDUFB11/NDUFV2/NDUFC1/ISCU/NDUFAB1/NDUFS8/SLC25A12/NDUFB9/NDUFAF2/UQCRQ/COX7B/UQCC3/NDUFB7/GPD1/NDUFA4/NDUFA3/NDUFC2-KCTD14",44
"GO:0070125","GO:0070125","mitochondrial translational elongation","38/3831","86/17468",3.3438555930834e-06,0.000158509123656628,0.000130834659884414,"MRPL36/MRPS7/MRPL27/GADD45GIP1/MRPL23/MRPL45/MRPL12/MRPL54/MRPL11/MRPL4/MRPL19/MRPS23/MRPL20/MRPL37/MRPL28/MRPS10/MRPL53/MRPS18A/MRPS15/MRPL35/MRPS18B/MRPL1/MRPL44/MRPL15/MRPL41/MRPS12/MRPL47/MRPL40/MRPS11/MRPL46/MRPL3/MRPS5/MRPS35/MRPL38/AURKAIP1/MRPS24/MRPL14/MRPS16",38
"GO:0036293","GO:0036293","response to decreased oxygen levels","117/3831","364/17468",3.43113213847253e-06,0.000160334954769979,0.000132341715044463,"IRAK1/ACTN4/EGR1/ND5/ALKBH5/DDAH1/CCNB1/PSMD1/PSMD11/CYTB/RHOA/MTOR/DDIT4/AHCY/PMAIP1/PSME3/TXN2/ND4/GNB1/CD24/PSMD2/PSMC1/PSMB2/PCK1/SLC8A1/ZFP36L1/PLAU/PSMA7/ERCC2/CREBBP/EGLN2/MDM2/CUL2/B3GAT1/PSMA4/MYC/PKM/PSMC2/PSMB7/TGFBR2/PSMD3/ATM/TMBIM6/PSMD10/CAT/PSMC3/PSMB4/PAM/MTHFR/PSEN2/MALAT1/FIS1/UBC/PSMB10/SLC2A1/PPARD/HIGD1A/CXCL12/PSME1/PSMC4/PSMB6/PSMB5/PPARGC1A/BAD/STC2/CPEB2/PSMD9/SLC2A8/HP1BP3/PSMB3/HIF1AN/PSME4/TBL2/AIFM1/NR4A2/CAV1/PLOD2/ARNT/SIRT2/EEF2K/PSMC5/SIRT1/TWIST1/CAPN2/CYBB/AKT1/OPA1/SUV39H1/ANGPT2/PDLIM1/E2F1/PSMA6/MGARP/PLK3/TRPC6/HSF1/BACH1/CASP3/CHRNA7/LOXL2/PTGIS/PSMB1/OPRD1/GATA6/STUB1/STC1/ELOB/SLC8A3/GNGT1/EPAS1/CCNA2/ADA/NDRG1/AGTRAP/UBA52/PSMA3/ELOC",117
"GO:0042326","GO:0042326","negative regulation of phosphorylation","141/3831","455/17468",3.43481260423012e-06,0.000160334954769979,0.000132341715044463,"CDKN1A/ATF3/FOXM1/QARS/JUN/UCHL1/CALM3/CCNB1/RHOA/HSPB1/MTOR/GMFB/CORO1C/CSK/DDIT4/GADD45A/PPIF/EIF4G1/PER1/PRKAR1A/AKT1S1/TIMP3/PRKAR2A/DMTN/MICAL1/PPP5C/YWHAG/PARK7/PHB/PRKAR1B/ATG14/ZMYND11/H2AFY/VPS25/BAX/EIF3A/PTPN1/PPP2R5D/TRIB3/DAG1/ITGB1BP1/ANKLE2/CHP1/SMCR8/WARS/RNF149/MYC/RAPGEF1/EFNA1/FBLN1/FBXO7/PPP2CA/PPM1F/PSMD10/GADD45B/PDE4D/CHORDC1/DVL1/BTN2A2/TARBP2/HNRNPU/PAQR3/PPP2R1A/TRAF3IP1/IPO5/PKN1/PTPRJ/CHRNA10/CTDSP2/CAMK2N1/PWP1/SLIT2/ADAR/NCOR1/DUSP16/AIDA/PRKAR2B/RASSF2/GPER1/PPARGC1A/GBA/DLG1/IGF1R/GNAQ/PRDX3/PPP1R15B/TAF7/BAK1/PDE12/DUSP10/FLCN/NR2F2/GPD1L/CDK5RAP3/CAV1/CHMP6/SIRT2/SIRT1/RTRAF/PIBF1/PIK3IP1/UVSSA/TWIST1/PARD6A/ZC3H12A/SORL1/C1QL4/PTPN6/AKT1/INHBA/TFAP4/HEG1/DBNDD2/PAFAH1B1/GPS1/SPRY4/KLF4/NUPR1/RGS14/GBP1/EPHB2/NOG/SMAD6/HEXIM1/NF2/PLK1/IPO7/MLLT1/ARRB2/CASP3/SPRY2/COX11/NNT/GSKIP/LRRK2/STK38/SIRT6/MECOM/SPRED2/MBIP/PDPK1",141
"GO:0042590","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","35/3831","77/17468",3.67826644074646e-06,0.000170398479433065,0.000140648226342737,"PSMD1/PSMD11/HLA-B/PSME3/PSMD2/PSMC1/PSMB2/PSMA7/PSMA4/PSMC2/PSMB7/PSMD3/PSMD10/PSMC3/HLA-C/PSMB4/PSMB10/VAMP8/ITGB5/PSME1/PSMC4/PSMB6/PSMB5/PSMD9/PSMB3/PSME4/PSMC5/CYBB/HLA-F/SNAP23/B2M/PSMA6/PSMB1/HLA-E/PSMA3",35
"GO:0009896","GO:0009896","positive regulation of catabolic process","124/3831","392/17468",4.3346871641323e-06,0.000199297834651647,0.000164501978251004,"MOV10/HSPA1A/BTG2/PLK2/HERPUD1/MSN/KEAP1/LPCAT1/FYCO1/TOB1/BCAP31/HSPB8/PIP4K2B/PABPC1/SOX9/VPS35/KHSRP/HNRNPR/ADAM9/RAB7A/SNF8/PSMC1/SESN2/GSK3A/LRP2/PARK7/ZFP36L1/LARP1/BAX/PTPN1/EGLN2/ZBTB20/SH3D19/RDX/CNOT7/MDM2/SGTA/USP5/SMCR8/BAG6/RNF40/HSPBP1/PSMC2/DTL/VCP/DDB1/FBXO7/TMEM173/ATM/FURIN/TRIM65/PSMD10/KAT5/RHBDD3/PSMC3/DVL1/USP13/CDC37/TP53INP1/SVIP/RIPK2/RBM24/CSNK1A1/FBXW7/ATP5IF1/OPTN/DAPK1/DISC1/PSMC4/SH3GLB1/BAG3/CLU/CSNK2A1/ZFP36/AKT2/BAD/GBA/KIAA1324/ATXN3/DXO/RNF41/ROCK1/FLCN/CTSC/CAV1/ARNT/SIRT2/CUL4B/GCLC/PSMC5/SIRT1/PTTG1IP/MID2/TWIST1/PACSIN3/PNPT1/ZC3H12A/SORL1/AKT1/TRIM8/IRGM/NSF/MYLIP/RALB/TRIM13/NUPR1/RNF152/PFKFB4/PLK1/PLK3/NANOS1/HSF1/DCN/FZR1/STUB1/NNT/PIK3CB/LRRK2/PIP4K2C/GPD1/NOD1/NRDC/SUPV3L1/PHKG2",124
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","54/3831","139/17468",4.4479037670815e-06,0.000202977101012712,0.000167538873237673,"MSN/PSMD1/PSMD11/CDC42/SAPCD2/WDR1/RHOA/PSME3/FZD4/PSMD2/PSMC1/PSMB2/PSMA7/LAMA1/PSMA4/PSMC2/DLG3/PSMB7/PSMD3/RAB10/PSMD10/AP2S1/PSMC3/DVL1/PSMB4/TRAF3IP1/PSMB10/PFN1/GPC4/DVL3/PSME1/PSMC4/PSMB6/EXOC5/RPGRIP1L/PSMB5/PSMD9/PSMB3/NPHP3/PSME4/LAMA5/BRSK1/PSMC5/PARD6A/DLG5/GPC6/PAFAH1B1/AP2B1/PSMA6/ARRB2/CELSR2/PSMB1/PRICKLE2/PSMA3",54
"GO:0006354","GO:0006354","DNA-templated transcription, elongation","44/3831","106/17468",4.49608961651121e-06,0.000203656207444193,0.000168099412952602,"NELFCD/ELP1/ELOA/POLR2F/SSRP1/POU4F1/ZNF326/ALYREF/ADRM1/CCAR2/TSFM/POLR1B/ZMYND11/ERCC2/CCNT2/POLR2E/POLR2L/HNRNPU/POLR1A/HTATSF1/TAF1D/POLR2G/NCBP1/CCNH/BRD4/CD3EAP/POLR2J/POLR2I/TAF1C/CCNT1/WDR61/POLR1E/SUPT16H/AFF4/SETD2/CTDP1/GTF2H1/NELFB/MLLT1/ELP2/ELOB/POLR2D/POLR2C/ELOC",44
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","87/3831","255/17468",4.5788848188995e-06,0.000205881475496842,0.000169936166459931,"CDKN1A/BTG2/PLK2/CCNB1/PSMD1/PSMD11/RPS27L/CNOT9/GADD45A/PSME3/PSMD2/TFDP1/PSMC1/GTSE1/CDK4/PSMB2/ZFP36L1/PSMA7/H2AFY/BAX/CNOT7/CNOT11/MDM2/SOX4/PSMA4/PSMC2/DTL/CASP2/CUL1/PSMB7/FBXO7/PSMD3/ATM/PSMD10/PSMC3/USP47/PSMB4/BTN2A2/ZNF385A/PSMB10/TRIAP1/PRMT1/SKP1/TICRR/CDC20/CTDSP2/PSME1/PSMC4/TEX14/PSMB6/ARID3A/PSMB5/BRCC3/PSMD9/RPA2/PSMB3/AURKB/PSME4/CDK5RAP3/SLFN11/MIIP/BRSK1/MUC1/PSMC5/NBN/E2F4/BRD7/RPL26/PRMT2/RIPK1/FHL1/TRIP13/KLF4/NDC80/E2F1/PSMA6/PLK1/USP44/PLK3/CCND1/PLAGL1/FZR1/PSMB1/KANK2/CNOT3/XRCC3/PSMA3",87
"GO:0010821","GO:0010821","regulation of mitochondrion organization","65/3831","177/17468",4.81425685412785e-06,0.000214884530386801,0.000177367357783658,"HSPA1A/YWHAQ/SLC35F6/UBE2L3/VDAC1/VPS35/PMAIP1/PPIF/PRELID1/YWHAE/TFDP1/GSK3A/MIEF1/YWHAZ/YWHAG/PARK7/HSPA1L/BAP1/BCL2L1/BAX/FBXO7/PSMD10/PPP3R1/SAE1/CDC37/FIS1/TRIAP1/FBXW7/HIGD1A/ATG13/ATP5IF1/TP73/OPTN/MFF/CTTN/TP53BP2/SH3GLB1/BAG3/MIEF2/CLU/GPER1/PPARGC1A/BAD/GBA/YWHAB/UBL5/BAK1/RNF41/FLCN/FXN/ARIH2/GOLPH3/GPX1/AKT1/OPA1/RHOU/ATP13A2/E2F1/MGARP/ARRB2/DCN/TMEM14A/HAX1/LRRK2/DDHD1",65
"GO:0009267","GO:0009267","cellular response to starvation","53/3831","136/17468",4.87513895530057e-06,0.000216025179070022,0.000178308858052374,"KLF10/CDKN1A/ATF3/MYBBP1A/JUN/XBP1/EIF2AK3/HSPA8/MAPK1/ASNS/MTOR/PMAIP1/NPRL3/SESN2/ZFYVE1/ITFG2/PPM1D/PCK1/GLUL/ATG14/SESN3/LAMP2/IFI16/HSPA5/GAS2L1/FAS/SLC2A1/HIGD1A/INHBB/RRAGC/SH3GLB1/GBA/KIAA1324/TBL2/RRAGD/PDK4/WIPI1/HNRNPA1/SIRT1/GAS6/ZC3H12A/SEH1L/WIPI2/EHMT2/RALB/BMPR2/RNF152/UPP1/FADS1/ALB/LRRK2/MAX/GCN1",53
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","130/3831","416/17468",5.12228564586996e-06,0.000225343717442409,0.00018600045188903,"CDKN1A/ATF3/FOXM1/QARS/JUN/UCHL1/CALM3/CCNB1/HSPB1/MTOR/GMFB/CORO1C/CSK/DDIT4/GADD45A/EIF4G1/PER1/PRKAR1A/AKT1S1/TIMP3/PRKAR2A/DMTN/MICAL1/PPP5C/YWHAG/PARK7/PHB/PRKAR1B/ATG14/ZMYND11/H2AFY/VPS25/BAX/EIF3A/PTPN1/PPP2R5D/TRIB3/DAG1/ITGB1BP1/CHP1/SMCR8/WARS/RNF149/MYC/RAPGEF1/EFNA1/FBLN1/FBXO7/PPP2CA/PPM1F/PSMD10/GADD45B/PDE4D/CHORDC1/DVL1/BTN2A2/TARBP2/PAQR3/PPP2R1A/TRAF3IP1/IPO5/PKN1/PTPRJ/CHRNA10/CTDSP2/CAMK2N1/PWP1/SLIT2/ADAR/NCOR1/DUSP16/AIDA/PRKAR2B/RASSF2/GPER1/PPARGC1A/GBA/DLG1/IGF1R/GNAQ/PPP1R15B/TAF7/BAK1/DUSP10/FLCN/NR2F2/GPD1L/CDK5RAP3/CAV1/CHMP6/SIRT2/SIRT1/RTRAF/PIBF1/UVSSA/TWIST1/PARD6A/ZC3H12A/SORL1/C1QL4/PTPN6/AKT1/TFAP4/HEG1/DBNDD2/PAFAH1B1/GPS1/SPRY4/KLF4/RGS14/GBP1/EPHB2/NOG/SMAD6/HEXIM1/NF2/PLK1/IPO7/MLLT1/ARRB2/CASP3/SPRY2/NNT/GSKIP/LRRK2/STK38/MECOM/SPRED2/MBIP/PDPK1",130
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","34/3831","75/17468",5.42323260349764e-06,0.000236879052645629,0.000195521807020836,"CDKN1A/MYBBP1A/RPS27L/CD44/USP28/DDIT4/PMAIP1/POU4F1/TAF9B/HINT1/SHISA5/BAX/E2F2/BCL2L12/MDM2/BAG6/IFI16/ZNF385A/ATAD5/EDA2R/TRIAP1/TP73/PDK2/TP53BP2/DDX5/MUC1/SIRT1/PTTG1IP/FHIT/RPL26/DYRK2/NUPR1/E2F1/PERP",34
"GO:1902036","GO:1902036","regulation of hematopoietic stem cell differentiation","33/3831","72/17468",5.54028960935586e-06,0.000240275680575965,0.000198325410054956,"PSMD1/PSMD11/PSME3/YAP1/PSMD2/PSMC1/PSMB2/PSMA7/PSMA4/PSMC2/PSMB7/PSMD3/PSMD10/PSMC3/PSMB4/PSMB10/TCF3/TP73/CBFB/PSME1/PSMC4/PSMB6/PSMB5/HSPA9/PSMD9/PSMB3/PSME4/GATA2/PSMC5/PSMA6/KMT2A/PSMB1/PSMA3",33
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","32/3831","69/17468",5.61754379981757e-06,0.000241910424900595,0.000199674740697741,"YBX1/TOB1/IGF2BP1/DHX34/PABPC1/MTOR/SRSF9/SRSF6/RBM42/C1QBP/LARP1/RNF20/U2AF2/HNRNPA0/RNF40/SECISBP2/GDNF/HNRNPU/RBM24/ELAVL1/SFSWAP/ANGEL2/ZFP36/CCNT1/PTBP1/TIRAP/CELF4/E2F1/THRAP3/CIRBP/PAIP1/RBM10",32
"GO:0006352","GO:0006352","DNA-templated transcription, initiation","80/3831","231/17468",5.77487584585936e-06,0.000245231706926597,0.000202416152638126,"HIST2H4A/CDKN1A/NR1D1/JUN/HIST1H4E/SMARCB1/CCNB1/NOTCH3/SOX9/POLR2F/YAP1/MED24/RXRB/MAZ/SMARCA4/CDK4/TAF9B/PPM1D/MED17/POLR1B/ERCC2/BAX/CREBBP/E2F2/HIST2H4B/ATF7IP/NRBP1/POLRMT/CTNNBIP1/POLR2E/GTF2A1/BRF1/MED1/POLR2L/POLR1A/TAF1D/POLR2G/CCNH/PPARD/NCOA6/MED16/FOSL1/CD3EAP/POLR2J/NR2C2AP/CBFB/ZNF451/HIST1H4D/RARB/PPARGC1A/POLR2I/TAF1C/TAF7/NR4A2/GTF3C5/MED23/CTNNB1/POLR1E/TWIST1/SGF29/GTF2H1/TFAM/MED20/HIST1H4K/MED30/TAF4/NR2F6/THRAP3/CCND1/MED4/HMGB1/TAF13/TRIM28/MED25/CCNC/MED6/POLR2D/ESRRA/POLR2C/TCF4",80
"GO:0007050","GO:0007050","cell cycle arrest","80/3831","231/17468",5.77487584585936e-06,0.000245231706926597,0.000202416152638126,"CDKN1A/BTG2/FOXM1/PLK2/MYBBP1A/DHCR24/CCNB1/PRKACA/PPP1R15A/WDR6/EIF4G2/ZNF268/MTOR/CNOT9/GADD45A/GADD45GIP1/MLST8/CDK5/POU4F1/TFDP1/HBP1/GTSE1/CDK4/LAMTOR5/BAX/HSP90AB1/CNOT7/CNOT11/MDM2/SOX4/MYC/CASP2/MSH2/PKD1/ATM/DDIT3/GAS2L1/LAMTOR1/ZNF385A/TP53INP1/TRIAP1/HRAS/PRMT1/RRAGC/TP73/CXCL8/ARID3A/GPER1/AKT2/ZBTB17/RRAGD/CDKN3/MUC1/NBN/CDK5R1/PNPT1/GAS6/E2F4/INHBA/SLC25A33/TFAP4/SLC38A9/BRINP2/RPL26/ERN1/MLF1/LAMTOR4/PPP2R3B/E2F1/STRADB/PLK3/CCND1/PLAGL1/MED25/GATA6/LAMTOR3/IRF6/CNOT3/PRKAB1/TGFBR1",80
